Problem Names,-1=>-2,False=>-2,False=>-1,True=>-2,True=>-1,True=>False
introductory/4066,0,0,0,0,0,0
introductory/4034,0,0,0,0,0,0
competition/2198,0,0,0,0,0,0
introductory/3014,0,0,0,0,0,0
competition/2069,0,0,0,0,0,0
interview/0083,0,0,0,0,0,0
competition/2174,0,0,0,0,0,2
interview/0002,0,0,1,0,0,0
interview/1154,0,0,0,0,0,0
interview/0342,0,0,0,0,0,0
introductory/4096,0,0,0,0,0,0
introductory/2508,0,0,0,0,0,0
competition/2262,0,0,0,0,0,0
interview/0000,0,0,0,0,0,0
introductory/4159,0,0,0,0,0,0
introductory/3003,0,0,0,0,0,0
interview/1879,0,0,0,0,0,0
competition/2056,0,0,0,0,0,0
introductory/3008,0,0,0,0,0,0
introductory/4020,0,0,0,0,0,0
introductory/4113,0,0,0,0,0,0
interview/1156,0,0,0,0,0,0
introductory/2434,0,0,0,0,0,0
interview/1871,0,0,0,0,0,0
interview/1580,0,0,0,0,0,0
interview/1952,0,0,0,0,0,0
interview/1593,0,0,0,0,0,0
interview/1131,0,0,0,0,0,1
interview/0160,0,0,0,0,0,0
introductory/4087,0,0,0,0,0,0
interview/1948,0,0,0,0,0,0
competition/2158,0,0,0,0,0,0
introductory/4099,0,0,0,0,0,0
interview/0008,0,0,1,0,0,0
interview/1218,0,0,0,0,0,0
interview/1489,0,0,0,0,0,0
introductory/3001,0,0,0,0,0,0
interview/0098,0,0,0,0,0,0
introductory/4055,0,0,0,0,0,0
competition/2349,0,0,0,0,0,0
competition/2034,0,0,0,0,0,0
interview/1404,0,0,0,0,0,0
introductory/4007,0,0,0,0,0,0
competition/2012,0,0,0,0,0,0
competition/2330,0,0,0,0,0,0
introductory/3027,0,0,0,0,0,0
interview/1125,0,0,0,0,0,0
introductory/2479,0,0,0,0,0,0
interview/1732,0,0,0,0,0,0
interview/1059,0,0,0,0,0,0
interview/1369,0,0,0,0,0,1
introductory/3010,0,0,0,0,0,0
interview/1063,0,0,0,0,0,0
competition/2251,3,1,0,0,0,0
competition/2073,0,0,0,0,0,0
competition/2055,0,0,0,0,0,0
interview/1944,0,0,0,0,0,0
introductory/3035,0,0,0,0,0,0
introductory/4109,0,0,0,0,0,0
